name,title,company,profile_source,person_location,company_hq
Jane Smith,Director of Toxicology,Helix Biotech,LinkedIn,Boston MA,Cambridge MA
Rahul Mehta,Head of Preclinical Safety,OncoNova Therapeutics,LinkedIn,San Diego CA,San Diego CA
Emily Chen,Senior Scientist Toxicology,BioSphere Labs,PubMed,San Francisco CA,Bay Area CA
Thomas Weber,VP Safety Assessment,NeoCure Pharma,Conference,Santa Clara CA,Bay Area CA
Ananya Rao,Principal Scientist Liver Toxicity,GenRx Biosciences,PubMed,Bangalore India,Bangalore India
Michael Brown,Director Preclinical Safety,Vertex Therapeutics,LinkedIn,Boston MA,Boston MA
Sophie Laurent,Head of Investigative Toxicology,InVitroX,Conference,Basel Switzerland,Basel Switzerland
Daniel Kim,Associate Director Toxicology,ArcBio,LinkedIn,San Mateo CA,Bay Area CA
Laura Martinez,Senior Researcher Hepatic Models,Uni of Texas Medical Branch,PubMed,Galveston TX,Texas USA
Peter Hoffmann,Director Drug Safety,BioNTech,LinkedIn,Mainz Germany,Mainz Germany
